pair_ID	sentence_A	sentence_B	entailment_label	relatedness_score	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
295	Duas jovens meninas pequenas estão sentadas no chão	Várias crianças estão sentadas e levantam seus joelhos	NEUTRAL	2.9	A_neutral_B	B_neutral_A	Two young girls are sitting on the ground	Several children are sitting down and have their knees raised	FLICKR	FLICKR	TEST
296	Duas meninas estão deitadas no chão	Várias crianças estão sentadas e levantam seus joelhos	NEUTRAL	2.8	A_neutral_B	B_neutral_A	Two girls are lying on the ground	Several children are sitting down and have their knees raised	FLICKR	FLICKR	TRAIN
297	Várias crianças estão deitadas e estão levantando seus joelhos	Duas meninas estão sentadas no chão	NEUTRAL	2.3	A_neutral_B	B_neutral_A	Several children are lying down and are raising their knees	Two girls are sitting on the ground	FLICKR	FLICKR	TEST
298	Muitas crianças estão de pé	Duas meninas estão sentadas no chão	NEUTRAL	1.8	A_neutral_B	B_neutral_A	Several children are standing up	Two girls are sitting on the ground	FLICKR	FLICKR	TEST
299	Várias crianças estão sentadas e levantam seus joelhos	Duas meninas estão sentadas no chão	NEUTRAL	3.2	A_neutral_B	B_neutral_A	Several children are sitting down and have their knees raised	Two girls are sitting on the ground	FLICKR	FLICKR	TEST
300	Uma senhora nua está andando na frente de diversas pessoas com pintura corporal	Uma senhora nua está andando em frente a uma multidão com pintura corporal	ENTAILMENT	4.7	A_entails_B	B_entails_A	A nude lady is walking in front of many people in body paint	A nude lady is walking in front of a crowd in body paint	FLICKR	FLICKR	TEST
301	Uma senhora nua está andando em frente a uma multidão com pintura corporal	Não tem nenhuma senhora de pintura corporal andando em frente a uma multidão	CONTRADICTION	2.9	A_contradicts_B	B_contradicts_A	A nude lady is walking in front of a crowd in body paint	There is no lady walking in body paint in front of a crowd 	FLICKR	FLICKR	TRAIN
302	Uma senhora nua está andando em frente a uma multidão com pintura corporal	Uma multidão nua com pinturas de corpo está andando na frente de uma senhora	NEUTRAL	3.1	A_neutral_B	B_contradicts_A	A nude lady is walking in front of a crowd in body paint	A nude crowd in body paint is walking in front of a lady 	FLICKR	FLICKR	TRAIN
303	Uma jovem mulher de topless está coberta de tinta	Uma menina de topless está coberta de tinta	ENTAILMENT	4.4	A_entails_B	B_entails_A	A young, topless woman is covered in paint	A topless girl is covered in paint	FLICKR	FLICKR	TRAIN
304	Uma velha mulher de topless está coberta de tinta	Uma jovem mulher de topless está coberta de tinta	NEUTRAL	3.8	A_neutral_B	B_neutral_A	An old, topless woman is covered in paint	A young, topless woman is covered in paint	FLICKR	FLICKR	TRIAL
305	Uma senhora nua está andando em frente a uma multidão com pintura corporal	Uma menina de topless está coberta de tinta	ENTAILMENT	3.8	A_entails_B	B_neutral_A	A nude lady is walking in front of a crowd in body paint	A topless girl is covered in paint	FLICKR	FLICKR	TRAIN
306	Uma velha mulher de topless está coberta de tinta	Uma senhora nua está andando em frente a uma multidão com pintura corporal	NEUTRAL	3.1	A_neutral_B	B_neutral_A	An old, topless woman is covered in paint	A nude lady is walking in front of a crowd in body paint	FLICKR	FLICKR	TEST
307	Uma jovem mulher de topless está coberta de tinta	Uma senhora nua está andando na frente de diversas pessoas com pintura corporal	NEUTRAL	3.5	A_neutral_B	B_neutral_A	A young, topless woman is covered in paint	A nude lady is walking in front of many people in body paint	FLICKR	FLICKR	TEST
308	Não tem nenhuma senhora de pintura corporal andando em frente a uma multidão	Uma jovem mulher de topless está coberta de tinta	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	There is no lady walking in body paint in front of a crowd 	A young, topless woman is covered in paint	FLICKR	FLICKR	TEST
309	Uma multidão nua com pinturas de corpo está andando na frente de uma senhora	Uma jovem mulher de topless está coberta de tinta	NEUTRAL	3	A_neutral_B	B_neutral_A	A nude crowd in body paint is walking in front of a lady 	A young, topless woman is covered in paint	FLICKR	FLICKR	TRAIN
310	Uma senhora nua está andando em frente a uma multidão com pintura corporal	Uma jovem mulher de topless está coberta de tinta	NEUTRAL	4.2	A_neutral_B	B_neutral_A	A nude lady is walking in front of a crowd in body paint	A young, topless woman is covered in paint	FLICKR	FLICKR	TRAIN
311	Um grupo de pessoas está perto do oceano	Uma multidão de pessoas está perto da água	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A group of people is near the ocean	A crowd of people is near the water	FLICKR	FLICKR	TRAIN
312	Uma multidão de pessoas está perto da água	Uma multidão de pessoas está longe da água	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A crowd of people is near the water	A crowd of people is far from the water	FLICKR	FLICKR	TRAIN
313	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	Um grupo de crianças vestindo a mesma roupa está esperando em um portão e uma está beijando a mãe	ENTAILMENT	4.5	A_entails_B	B_entails_A	A group of children in uniforms is standing at a gate and one is kissing the mother	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	FLICKR	FLICKR	TRAIN
314	Um grupo de crianças de uniforme está parado no portão e não tem ninguém beijando a mãe	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A group of children in uniforms is standing at a gate and one is kissing the mother	FLICKR	FLICKR	TEST
315	Um grupo de mães de uniforme está parado perto das crianças e uma está beijando o portão	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	NEUTRAL	3.3	A_neutral_B	B_neutral_A	A group of mothers in uniforms is standing near the children and one is kissing the gate	A group of children in uniforms is standing at a gate and one is kissing the mother	FLICKR	FLICKR	TRAIN
316	Uma multidão de pessoas está perto da água	Um grupo de crianças vestindo a mesma roupa está esperando em um portão e uma está beijando a mãe	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A crowd of people is near the water	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	FLICKR	FLICKR	TEST
317	Um grupo de crianças de uniforme está parado no portão e não tem ninguém beijando a mãe	Uma multidão de pessoas está perto da água	NEUTRAL	1.3	A_neutral_B	B_neutral_A	A group of children in uniforms is standing at a gate and there is no one kissing the mother	A crowd of people is near the water	FLICKR	FLICKR	TRIAL
318	Um grupo de mães de uniforme está parado perto das crianças e uma está beijando o portão	Uma multidão de pessoas está perto da água	NEUTRAL	1.7	A_neutral_B	B_neutral_A	A group of mothers in uniforms is standing near the children and one is kissing the gate	A crowd of people is near the water	FLICKR	FLICKR	TEST
319	Um grupo de pessoas está perto do oceano	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	NEUTRAL	1.8	A_neutral_B	B_neutral_A	A group of people is near the ocean	A group of children in uniforms is standing at a gate and one is kissing the mother	FLICKR	FLICKR	TEST
320	Uma multidão de pessoas está longe da água	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	NEUTRAL	1	A_neutral_B	B_neutral_A	A crowd of people is far from the water	A group of children in uniforms is standing at a gate and one is kissing the mother	FLICKR	FLICKR	TEST
321	Uma multidão de pessoas está perto da água	Um grupo de crianças em uniformes está parado em um portão e uma está beijando a mãe	NEUTRAL	1.9	A_neutral_B	B_neutral_A	A crowd of people is near the water	A group of children in uniforms is standing at a gate and one is kissing the mother	FLICKR	FLICKR	TEST
322	Um homem está em um estacionamento e está jogando tênis contra uma grande parede	Um homem solitário está em um estacionamento e está jogando tênis contra um grande muro	ENTAILMENT	4.7	A_entails_B	B_entails_A	A man is in a parking lot and is playing tennis against a large wall	A lone man is in a parking lot and is playing tennis against a large wall	FLICKR	FLICKR	TEST
323	Um homem está em um estacionamento e está jogando tênis contra uma grande parede	Um homem está em um estacionamento e está jogando tênis contra um amigo	NEUTRAL	3.9	A_neutral_B	B_contradicts_A	A man is in a parking lot and is playing tennis against a large wall	A man is in a parking lot and is playing tennis against a friend	FLICKR	FLICKR	TRAIN
324	Um homem está apontando para um sedã prateado	Um homem está apontando para um carro	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man is pointing at a silver sedan	A man is pointing at a car	FLICKR	FLICKR	TEST
325	Um homem está apontando para um sedã prateado	Não tem nenhum homem apontando para um carro	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	A man is pointing at a silver sedan	There is no man pointing at a car	FLICKR	FLICKR	TEST
326	Um homem está apontando para um carro	Um homem está em um estacionamento e está jogando tênis contra uma grande parede	NEUTRAL	2.3	A_neutral_B	B_neutral_A	A man is pointing at a car	A man is in a parking lot and is playing tennis against a large wall	FLICKR	FLICKR	TEST
327	Um homem está em um estacionamento e está jogando tênis contra uma grande parede	Não tem nenhum homem apontando para um carro	NEUTRAL	1.5	A_neutral_B	B_neutral_A	A man is in a parking lot and is playing tennis against a large wall	There is no man pointing at a car	FLICKR	FLICKR	TRAIN
328	Um homem está apontando para um sedã prateado	Um homem solitário está em um estacionamento e está jogando tênis contra um grande muro	NEUTRAL	1.4	A_neutral_B	B_neutral_A	A man is pointing at a silver sedan	A lone man is in a parking lot and is playing tennis against a large wall	FLICKR	FLICKR	TEST
329	Um homem está em um estacionamento e está jogando tênis contra um amigo	Um homem está apontando para um sedã prateado	NEUTRAL	1.3	A_neutral_B	B_neutral_A	A man is in a parking lot and is playing tennis against a friend	A man is pointing at a silver sedan	FLICKR	FLICKR	TRAIN
330	Um homem está apontando para um sedã prateado	Um homem está em um estacionamento e está jogando tênis contra uma grande parede	NEUTRAL	1.3	A_neutral_B	B_neutral_A	A man is pointing at a silver sedan	A man is in a parking lot and is playing tennis against a large wall	FLICKR	FLICKR	TEST
331	Um grupo de pessoas está em uma praia	Um grupo de pessoas está perto do mar	ENTAILMENT	4	A_entails_B	B_neutral_A	A group of people is on a beach	A group of people is near the sea	FLICKR	FLICKR	TRAIN
332	Um grupo de pessoas está em uma praia	Um grupo de pessoas está em uma montanha	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A group of people is on a beach	A group of people is on a mountain	FLICKR	FLICKR	TRAIN
333	Um homem, uma mulher e duas meninas estão andando na praia	Quatro pessoas estão andando na praia	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A man, a woman and two girls are walking on the beach	Four people are walking on the beach	FLICKR	FLICKR	TRAIN
334	Um homem, uma mulher e duas meninas estão andando na praia	Um homem, uma mulher e duas meninas estão sentados na praia	NEUTRAL	3.1	A_neutral_B	B_neutral_A	A man, a woman and two girls are walking on the beach	A man, a woman and two girls are sitting on the beach	FLICKR	FLICKR	TEST
335	Um grupo de pessoas está em uma praia	Quatro pessoas estão andando na praia	NEUTRAL	4.6	A_neutral_B	B_neutral_A	A group of people is on a beach	Four people are walking on the beach	FLICKR	FLICKR	TRAIN
336	Um homem, uma mulher e duas meninas estão sentados na praia	Um grupo de pessoas está em uma praia	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man, a woman and two girls are sitting on the beach	A group of people is on a beach	FLICKR	FLICKR	TEST
337	Um homem, uma mulher e duas meninas estão andando na praia	Um grupo de pessoas está perto do mar	ENTAILMENT	3.8	A_entails_B	B_neutral_A	A man, a woman and two girls are walking on the beach	A group of people is near the sea	FLICKR	FLICKR	TEST
338	Um homem, uma mulher e duas meninas estão andando na praia	Um grupo de pessoas está em uma montanha	NEUTRAL	1.4	A_neutral_B	B_neutral_A	A man, a woman and two girls are walking on the beach	A group of people is on a mountain	FLICKR	FLICKR	TRAIN
339	Um homem, uma mulher e duas meninas estão andando na praia	Um grupo de pessoas está em uma praia	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man, a woman and two girls are walking on the beach	A group of people is on a beach	FLICKR	FLICKR	TRAIN
340	Uma estudante com uma sacola preta está em um trem lotado	Uma menina com uma sacola preta está em um trem lotado	ENTAILMENT	4.7	A_entails_B	B_neutral_A	A schoolgirl with a black bag is on a crowded train	A girl with a black bag is on a crowded train	FLICKR	FLICKR	TRAIN
341	Não tem nenhuma menina com uma sacola preta em um trem lotado	Uma menina com uma sacola preta está em um trem lotado	CONTRADICTION	3.7	A_contradicts_B	B_contradicts_A	There is no girl with a black bag on a crowded train	A girl with a black bag is on a crowded train	FLICKR	FLICKR	TRAIN
342	Uma menina com uma sacola preta está em um trem lotado	Um pequeno trem preto está na sacola de uma menina	NEUTRAL	2.7	A_neutral_B	B_neutral_A	A girl with a black bag is on a crowded train	A cramped black train is on the bag of a girl	FLICKR	FLICKR	TRAIN
343	Uma mulher asiática na multidão está carregando uma sacola preta	Uma mulher asiática no meio de muitas pessoas está carregando uma sacola preta	ENTAILMENT	4.8	A_entails_B	B_entails_A	An Asian woman in a crowd is carrying a black bag	An Asian woman in in the midst of many people is carrying a black bag	FLICKR	FLICKR	TEST
344	Uma mulher asiática em uma multidão não está carregando uma sacola preta	Uma mulher asiática na multidão está carregando uma sacola preta	NEUTRAL	3.8	A_contradicts_B	B_neutral_A	An Asian woman in a crowd is not carrying a black bag	An Asian woman in a crowd is carrying a black bag	FLICKR	FLICKR	TRAIN
345	Uma mulher asiática no meio de muitas pessoas está carregando uma sacola preta	Uma menina com uma sacola preta está em um trem lotado	NEUTRAL	3.5	A_neutral_B	B_neutral_A	An Asian woman in in the midst of many people is carrying a black bag	A girl with a black bag is on a crowded train	FLICKR	FLICKR	TEST
346	Uma menina com uma sacola preta está em um trem lotado	Uma mulher asiática em uma multidão não está carregando uma sacola preta	NEUTRAL	2.5	A_neutral_B	B_neutral_A	A girl with a black bag is on a crowded train	An Asian woman in a crowd is not carrying a black bag	FLICKR	FLICKR	TRAIN
347	Uma estudante com uma sacola preta está em um trem lotado	Uma mulher asiática na multidão está carregando uma sacola preta	NEUTRAL	2.8	A_neutral_B	B_neutral_A	A schoolgirl with a black bag is on a crowded train	An Asian woman in a crowd is carrying a black bag	FLICKR	FLICKR	TRAIN
348	Não tem nenhuma menina com uma sacola preta em um trem lotado	Uma mulher asiática na multidão está carregando uma sacola preta	NEUTRAL	2.6	A_neutral_B	B_neutral_A	There is no girl with a black bag on a crowded train	An Asian woman in a crowd is carrying a black bag	FLICKR	FLICKR	TEST
349	Uma mulher asiática na multidão está carregando uma sacola preta	Um pequeno trem preto está na sacola de uma menina	NEUTRAL	2.1	A_neutral_B	B_neutral_A	An Asian woman in a crowd is carrying a black bag	A cramped black train is on the bag of a girl	FLICKR	FLICKR	TEST
350	Uma menina com uma sacola preta está em um trem lotado	Uma mulher asiática na multidão está carregando uma sacola preta	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A girl with a black bag is on a crowded train	An Asian woman in a crowd is carrying a black bag	FLICKR	FLICKR	TEST
351	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	Um cachorro está perseguindo outro e está segurando um pedaço de madeira em sua boca	ENTAILMENT	4.6	A_entails_B	B_entails_A	A dog is chasing another and is holding a stick in its mouth	A dog is chasing another and is holding a piece of wood in its mouth	FLICKR	FLICKR	TRAIN
352	Não tem nenhum cachorro perseguindo um outro ou segurando uma vara na boca	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	CONTRADICTION	3.9	A_contradicts_B	B_contradicts_A	There is no dog chasing another or holding a stick in its mouth	A dog is chasing another and is holding a stick in its mouth	FLICKR	FLICKR	TEST
353	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	Um cachorro está perseguindo uma vara e segurando outro cachorro em sua boca	NEUTRAL	3.2	A_neutral_B	B_contradicts_A	A dog is chasing another and is holding a stick in its mouth	A dog is chasing a stick and holding another dog in its mouth	FLICKR	FLICKR	TEST
354	Dois cachorros estão correndo e carregando um brinquedo em suas bocas	Dois cachorros estão correndo e levando um objeto em suas bocas	ENTAILMENT	4.3	A_entails_B	B_neutral_A	Two dogs are running and carrying a toy in their mouths	Two dogs are running and carrying an object in their mouths	FLICKR	FLICKR	TRAIN
355	Não tem nenhum cachorro correndo e carregando um objeto na boca	Dois cachorros estão correndo e levando um objeto em suas bocas	CONTRADICTION	3.5	A_contradicts_B	B_contradicts_A	There is no dog running and carrying an object in its mouth	Two dogs are running and carrying an object in their mouths	FLICKR	FLICKR	TEST
356	Dois cachorros estão correndo e carregando um brinquedo em suas bocas	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	NEUTRAL	4.2	A_neutral_B	B_neutral_A	Two dogs are running and carrying a toy in their mouths	A dog is chasing another and is holding a stick in its mouth	FLICKR	FLICKR	TEST
357	Não tem nenhum cachorro correndo e carregando um objeto na boca	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	CONTRADICTION	3.1	A_contradicts_B	B_contradicts_A	There is no dog running and carrying an object in its mouth	A dog is chasing another and is holding a stick in its mouth	FLICKR	FLICKR	TEST
358	Um cachorro está perseguindo outro e está segurando um pedaço de madeira em sua boca	Dois cachorros estão correndo e levando um objeto em suas bocas	NEUTRAL	3.9	A_neutral_B	B_neutral_A	A dog is chasing another and is holding a piece of wood in its mouth	Two dogs are running and carrying an object in their mouths	FLICKR	FLICKR	TRAIN
359	Não tem nenhum cachorro perseguindo um outro ou segurando uma vara na boca	Dois cachorros estão correndo e levando um objeto em suas bocas	NEUTRAL	3.9	A_contradicts_B	B_neutral_A	There is no dog chasing another or holding a stick in its mouth	Two dogs are running and carrying an object in their mouths	FLICKR	FLICKR	TEST
360	Dois cachorros estão correndo e levando um objeto em suas bocas	Um cachorro está perseguindo uma vara e segurando outro cachorro em sua boca	NEUTRAL	3.2	A_neutral_B	B_neutral_A	Two dogs are running and carrying an object in their mouths	A dog is chasing a stick and holding another dog in its mouth	FLICKR	FLICKR	TRAIN
361	Um cachorro está perseguindo outro e está segurando uma vara na sua boca	Dois cachorros estão correndo e levando um objeto em suas bocas	ENTAILMENT	4	A_entails_B	B_neutral_A	A dog is chasing another and is holding a stick in its mouth	Two dogs are running and carrying an object in their mouths	FLICKR	FLICKR	TRAIN
362	Uma bola de futebol de campo suja está rolando para a rede do gol	Uma bola de futebol está rolando na rede	ENTAILMENT	4.5	A_entails_B	B_neutral_A	A dirty soccer ball is rolling into a goal net	A soccer ball is rolling into a goal net	FLICKR	FLICKR	TRAIN
363	Uma bola de futebol de campo não está rolando para uma rede de gol	Uma bola de futebol está rolando na rede	CONTRADICTION	3.4	A_contradicts_B	B_contradicts_A	A soccer ball is not rolling into a goal net	A soccer ball is rolling into a goal net	FLICKR	FLICKR	TRAIN
364	Uma pessoa que joga futebol de campo está chutando uma bola para o gol	Um jogador de futebol de campo está chutando a bola dentro do gol	ENTAILMENT	4.9	A_entails_B	B_entails_A	A person who plays soccer is kicking a ball into the goal	A soccer player is kicking a ball into the goal	FLICKR	FLICKR	TEST
365	Um jogador de futebol de campo está chutando uma bola para fora do gol	Um jogador de futebol de campo está chutando a bola dentro do gol	NEUTRAL	4.4	A_contradicts_B	B_neutral_A	A soccer player is kicking a ball out of the goal	A soccer player is kicking a ball into the goal	FLICKR	FLICKR	TEST
366	Uma pessoa que joga futebol de campo está chutando uma bola para o gol	Uma bola de futebol está rolando na rede	NEUTRAL	4.1	A_neutral_B	B_neutral_A	A person who plays soccer is kicking a ball into the goal	A soccer ball is rolling into a goal net	FLICKR	FLICKR	TRAIN
367	Uma bola de futebol está rolando na rede	Um jogador de futebol de campo está chutando uma bola para fora do gol	NEUTRAL	3.2	A_neutral_B	B_neutral_A	A soccer ball is rolling into a goal net	A soccer player is kicking a ball out of the goal	FLICKR	FLICKR	TRAIN
368	Uma bola de futebol de campo suja está rolando para a rede do gol	Um jogador de futebol de campo está chutando a bola dentro do gol	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A dirty soccer ball is rolling into a goal net	A soccer player is kicking a ball into the goal	FLICKR	FLICKR	TEST
369	Um jogador de futebol de campo está chutando a bola dentro do gol	Uma bola de futebol de campo não está rolando para uma rede de gol	NEUTRAL	2.8	A_contradicts_B	B_neutral_A	A soccer player is kicking a ball into the goal	A soccer ball is not rolling into a goal net	FLICKR	FLICKR	TEST
370	Uma bola de futebol está rolando na rede	Um jogador de futebol de campo está chutando a bola dentro do gol	NEUTRAL	4.3	A_neutral_B	B_neutral_A	A soccer ball is rolling into a goal net	A soccer player is kicking a ball into the goal	FLICKR	FLICKR	TRAIN
371	Um homem está descansando em uma cadeira e esfregando seus olhos	Um homem está sentado em uma cadeira e esfregando seus olhos	ENTAILMENT	4.3	A_entails_B	B_neutral_A	A man is resting on a chair and rubbing his eyes	A man is sitting on a chair and rubbing his eyes	FLICKR	FLICKR	TEST
372	Um homem está sentado em uma cadeira e esfregando seus olhos	Não tem nenhum homem sentado em uma cadeira e esfregando os olhos	CONTRADICTION	3.8	A_contradicts_B	B_contradicts_A	A man is sitting on a chair and rubbing his eyes	There is no man sitting on a chair and rubbing his eyes	FLICKR	FLICKR	TRAIN
373	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem tatuado está em um sofá e está segurando um lápis	ENTAILMENT	4.4	A_entails_B	B_neutral_A	A man with tattoos is lounging on a couch and holding a pencil	A tattooed man is on a sofa and is holding a pencil	FLICKR	FLICKR	TRAIN
374	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem com tatuagens está deitado em um sofá e está procurando um lápis	NEUTRAL	2.9	A_neutral_B	B_neutral_A	A man with tattoos is lounging on a couch and holding a pencil	A man with tattoos is lounging on a couch and is looking for a pencil	FLICKR	FLICKR	TRAIN
375	Um homem com tatuagens está segurando um sofá com um lápis	Um homem com tatuagens está descansando em um sofá e segurando um lápis	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A man with tattoos is holding a couch with a pencil	A man with tattoos is lounging on a couch and holding a pencil	FLICKR	FLICKR	TRAIN
376	Um homem está sentado em uma cadeira e esfregando seus olhos	Um homem tatuado está em um sofá e está segurando um lápis	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A man is sitting on a chair and rubbing his eyes	A tattooed man is on a sofa and is holding a pencil	FLICKR	FLICKR	TEST
377	Um homem está sentado em uma cadeira e esfregando seus olhos	Um homem com tatuagens está deitado em um sofá e está procurando um lápis	NEUTRAL	2.1	A_neutral_B	B_neutral_A	A man is sitting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and is looking for a pencil	FLICKR	FLICKR	TRAIN
378	Um homem com tatuagens está segurando um sofá com um lápis	Um homem está sentado em uma cadeira e esfregando seus olhos	NEUTRAL	2	A_neutral_B	B_neutral_A	A man with tattoos is holding a couch with a pencil	A man is sitting on a chair and rubbing his eyes	FLICKR	FLICKR	TRAIN
379	Um homem está descansando em uma cadeira e esfregando seus olhos	Um homem com tatuagens está descansando em um sofá e segurando um lápis	NEUTRAL	2.5	A_neutral_B	B_neutral_A	A man is resting on a chair and rubbing his eyes	A man with tattoos is lounging on a couch and holding a pencil	FLICKR	FLICKR	TRAIN
380	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Não tem nenhum homem sentado em uma cadeira e esfregando os olhos	NEUTRAL	1.6	A_neutral_B	B_neutral_A	A man with tattoos is lounging on a couch and holding a pencil	There is no man sitting on a chair and rubbing his eyes	FLICKR	FLICKR	TRAIN
381	Um homem com tatuagens está descansando em um sofá e segurando um lápis	Um homem está sentado em uma cadeira e esfregando seus olhos	NEUTRAL	2.4	A_neutral_B	B_neutral_A	A man with tattoos is lounging on a couch and holding a pencil	A man is sitting on a chair and rubbing his eyes	FLICKR	FLICKR	TRAIN
382	Um cachorro castanho e branco está atravessando a grama alta	Um cachorro castanho e branco está se movendo pela grama selvagem	NEUTRAL	4.4	A_neutral_B	B_neutral_A	A brown and white dog is running through the tall grass	A brown and white dog is moving through the wild grass	FLICKR	FLICKR	TRIAL
383	Um cachorro castanho e branco está descansando na grama	Um cachorro castanho e branco está atravessando a grama alta	NEUTRAL	3.935	A_neutral_B	B_neutral_A	A brown and white dog is resting in the grass	A brown and white dog is running through the tall grass	FLICKR	FLICKR	TEST
384	Um cachorro branco e caramelo está correndo pela grama alta e verde	Um cachorro branco e caramelo está correndo pelo campo	ENTAILMENT	4.35	A_entails_B	B_neutral_A	A white and tan dog is running through the tall and green grass	A white and tan dog is running through a field	FLICKR	FLICKR	TRIAL
385	Um cachorro preto e caramelo está correndo através da grama baixa e verde	Um cachorro branco e caramelo está correndo pela grama alta e verde	NEUTRAL	4	A_neutral_B	B_contradicts_A	A black and tan dog is running through the low and green grass	A white and tan dog is running through the tall and green grass	FLICKR	FLICKR	TEST
386	Um cachorro branco e caramelo está correndo pelo campo	Um cachorro castanho e branco está atravessando a grama alta	NEUTRAL	4	A_neutral_B	B_neutral_A	A white and tan dog is running through a field	A brown and white dog is running through the tall grass	FLICKR	FLICKR	TEST
387	Um cachorro castanho e branco está atravessando a grama alta	Um cachorro preto e caramelo está correndo através da grama baixa e verde	NEUTRAL	3.8	A_neutral_B	B_neutral_A	A brown and white dog is running through the tall grass	A black and tan dog is running through the low and green grass	FLICKR	FLICKR	TRAIN
388	Um cachorro castanho e branco está se movendo pela grama selvagem	Um cachorro branco e caramelo está correndo pela grama alta e verde	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A brown and white dog is moving through the wild grass	A white and tan dog is running through the tall and green grass	FLICKR	FLICKR	TEST
389	Um cachorro branco e caramelo está correndo pela grama alta e verde	Um cachorro castanho e branco está descansando na grama	NEUTRAL	3.4	A_neutral_B	B_neutral_A	A white and tan dog is running through the tall and green grass	A brown and white dog is resting in the grass	FLICKR	FLICKR	TEST
390	Um cachorro branco e caramelo está correndo pela grama alta e verde	Um cachorro castanho e branco está atravessando a grama alta	ENTAILMENT	4.6	A_entails_B	B_neutral_A	A white and tan dog is running through the tall and green grass	A brown and white dog is running through the tall grass	FLICKR	FLICKR	TRAIN
391	Um homem com roupas cobertas de tinta está sentado fora em uma área movimentada escrevendo algo	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo	ENTAILMENT	4.8	A_entails_B	B_entails_A	A man with paint covered clothes is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	FLICKR	FLICKR	TRAIN
392	Não tem nenhum homem vestindo roupas que estão cobertas com tinta ou sentado do lado de fora em uma área movimentada escrevendo algo	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo	CONTRADICTION	4.1	A_contradicts_B	B_contradicts_A	There is no man wearing clothes that are covered with paint or is sitting outside in a busy area writing something	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	FLICKR	FLICKR	TRAIN
393	Um homem sentado está ocupado escrevendo algo em uma área coberta por tinta	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo	NEUTRAL	3.7	A_neutral_B	B_neutral_A	A sitting man is busy writing something in an area covered by paint	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	FLICKR	FLICKR	TRAIN
394	Um homem está sentado perto de uma bicicleta e escrevendo uma nota	Um homem está parado perto de uma bicicleta e está escrevendo em um pedaço de papel	NEUTRAL	3.6	A_neutral_B	B_neutral_A	A man is sitting near a bike and is writing a note	A man is standing near a bike and is writing on a piece paper	FLICKR	FLICKR	TRIAL
395	Um homem está sentado perto de uma bicicleta e escrevendo uma nota	Não tem nenhum homem escrevendo uma nota perto de uma bicicleta	CONTRADICTION	4.2	A_contradicts_B	B_contradicts_A	A man is sitting near a bike and is writing a note	There is no man writing a note near a bike	FLICKR	FLICKR	TRAIN
396	Um homem está usando roupas que estão cobertas com tinta e está sentado em uma área movimentada escrevendo algo	Um homem está parado perto de uma bicicleta e está escrevendo em um pedaço de papel	NEUTRAL	2.6	A_neutral_B	B_neutral_A	A man is wearing clothes that are covered with paint and is sitting outside in a busy area writing something	A man is standing near a bike and is writing on a piece paper	FLICKR	FLICKR	TRAIN
